time,entry,sl,tp,trailing_sl,risk_pips,spread,exit_price,exit_time,status,exit_rr,exit_type,balance_before,risk_amount,risky_ticks,profit,balance_after,withdrawal,total_withdrawn,investment,total_invested,total_equity,direction,duration,pips
2025-03-27 05:10:00+00:00,5724.3,5723.4,5726.100000000001,5727.449999999999,0.9,0.5,5727.449999999999,2025-03-27 05:45:00+00:00,win,3.4999999999964633,TSL,"$11,144.35",$557.22,0.9000000000005457,"$1,950.26","$12,944.61",$150.00,"$64,500.00",$0.00,"$10,000.00","$77,444.61",bullish,0 days 00:35:00,3.1499999999987267
2025-03-27 05:55:00+00:00,5724.6,5723.6,5726.6,,1.0,0.5,5723.6,2025-03-27 06:00:00+00:00,loss,-1.0,SL,"$12,944.61",$647.23,1.0,$-647.23,"$12,197.38",$100.00,"$64,600.00",$0.00,"$10,000.00","$76,797.38",bullish,0 days 00:05:00,-1.0
2025-03-27 06:55:00+00:00,5723.1,5721.6,5726.1,,1.5,0.5,5721.6,2025-03-27 07:00:00+00:00,loss,-1.0,SL,"$12,197.38",$609.87,1.5,$-609.87,"$11,537.51",$50.00,"$64,650.00",$0.00,"$10,000.00","$76,187.51",bullish,0 days 00:05:00,-1.5
2025-03-27 07:10:00+00:00,5723.8,5718.6,5734.2,,5.2,0.7,5718.6,2025-03-27 07:20:00+00:00,loss,-1.0,SL,"$11,537.51",$576.88,5.199999999999818,$-576.88,"$10,960.63",$0.00,"$64,650.00",$0.00,"$10,000.00","$75,610.63",bullish,0 days 00:10:00,-5.199999999999818
2025-03-27 07:25:00+00:00,5720.0,5718.8,5722.4,,1.2,0.7,5718.8,2025-03-27 07:30:00+00:00,loss,-1.0,SL,"$10,960.63",$548.03,1.199999999999818,$-548.03,"$10,412.60",$0.00,"$64,650.00",$0.00,"$10,000.00","$75,062.60",bullish,0 days 00:05:00,-1.199999999999818
2025-03-27 08:50:00+00:00,5716.3,5713.6,5721.7,5718.35,2.7,0.7,5718.35,2025-03-27 09:05:00+00:00,win,0.7592592592593778,TSL,"$10,412.60",$520.63,2.699999999999818,$395.29,"$10,807.90",$0.00,"$64,650.00",$0.00,"$10,000.00","$75,457.90",bullish,0 days 00:15:00,2.050000000000182
2025-03-27 09:15:00+00:00,5720.6,5718.0,5725.800000000001,,2.6,0.5,5718.0,2025-03-27 09:20:00+00:00,loss,-1.0,SL,"$10,807.90",$540.39,2.600000000000364,$-540.39,"$10,267.50",$0.00,"$64,650.00",$0.00,"$10,000.00","$74,917.50",bullish,0 days 00:05:00,-2.600000000000364
2025-03-27 09:25:00+00:00,5720.3,5717.4,5726.100000000001,5719.25,2.9,0.5,5719.25,2025-03-27 09:40:00+00:00,loss,-0.362068965517236,TSL,"$10,267.50",$513.38,2.9000000000005457,$-185.88,"$10,081.62",$0.00,"$64,650.00",$0.00,"$10,000.00","$74,731.62",bullish,0 days 00:15:00,-1.050000000000182
2025-03-27 13:30:00+00:00,5701.1,5697.4,5708.500000000002,,3.7,0.5,5697.4,2025-03-27 13:35:00+00:00,loss,-1.0,SL,"$10,081.62",$504.08,3.7000000000007276,$-504.08,"$9,577.54",$0.00,"$64,650.00",$0.00,"$10,000.00","$74,227.54",bullish,0 days 00:05:00,-3.7000000000007276
2025-03-27 17:05:00+00:00,5701.7,5694.5,5716.099999999999,5700.5,7.2,0.4,5700.5,2025-03-27 17:25:00+00:00,loss,-0.16666666666664562,TSL,"$9,577.54",$478.88,7.199999999999818,$-79.81,"$9,497.73",$0.00,"$64,650.00",$0.00,"$10,000.00","$74,147.73",bullish,0 days 00:20:00,-1.199999999999818
