Datetime,Close_bid,High_bid,Low_bid,Open_bid,Close,High,Low,Open,Close_ask,High_ask,Low_ask,Open_ask,Volume,Close_spread,Open_spread,High_spread,Low_spread
2025-03-09 22:00:00+00:00,5722.7,5740.7,5720.2,5731.7,5723.0,5741.0,5720.6,5732.3,5723.2,5741.2,5720.9,5732.9,1586,0.5,1.2,0.5,0.7
2025-03-09 22:15:00+00:00,5726.9,5732.2,5716.7,5722.4,5727.2,5732.6,5717.0,5722.6,5727.4,5732.9,5717.2,5722.9,1232,0.5,0.5,0.7,0.5
2025-03-09 22:30:00+00:00,5731.7,5734.7,5724.4,5727.0,5732.0,5735.0,5724.6,5727.4,5732.2,5735.2,5724.9,5727.7,819,0.5,0.7,0.5,0.5
2025-03-09 22:45:00+00:00,5721.2,5735.2,5721.2,5732.2,5721.6,5735.4,5721.4,5732.4,5721.9,5735.7,5721.7,5732.7,627,0.7,0.5,0.5,0.5
2025-03-09 23:00:00+00:00,5721.9,5725.7,5703.9,5721.4,5722.2,5726.0,5704.2,5721.6,5722.4,5726.4,5704.4,5721.9,1437,0.5,0.5,0.7,0.5
2025-03-09 23:15:00+00:00,5729.2,5731.7,5720.4,5722.4,5729.4,5732.0,5720.6,5722.6,5729.7,5732.2,5720.9,5722.9,666,0.5,0.5,0.5,0.5
2025-03-09 23:30:00+00:00,5726.7,5730.7,5725.5,5728.9,5727.0,5731.0,5725.8,5729.2,5727.2,5731.4,5726.2,5729.4,533,0.5,0.5,0.7,0.7
2025-03-09 23:45:00+00:00,5726.9,5728.2,5721.9,5726.4,5727.2,5728.6,5722.2,5726.6,5727.4,5728.9,5722.4,5726.9,705,0.5,0.5,0.7,0.5
2025-03-10 00:00:00+00:00,5729.2,5733.2,5722.9,5726.4,5729.4,5733.4,5723.2,5726.6,5729.7,5733.7,5723.4,5726.9,1264,0.5,0.5,0.5,0.5
2025-03-10 00:15:00+00:00,5722.9,5729.0,5719.7,5729.0,5723.2,5729.4,5720.0,5729.4,5723.4,5729.7,5720.4,5729.7,1072,0.5,0.7,0.7,0.7
2025-03-10 00:30:00+00:00,5728.2,5729.4,5721.4,5723.0,5728.4,5729.6,5721.6,5723.4,5728.7,5729.9,5721.9,5723.7,680,0.5,0.7,0.5,0.5
2025-03-10 00:45:00+00:00,5731.9,5732.2,5726.2,5727.9,5732.2,5732.4,5726.6,5728.2,5732.4,5732.7,5726.9,5728.4,408,0.5,0.5,0.5,0.7
2025-03-10 01:00:00+00:00,5736.7,5738.5,5730.9,5732.0,5737.0,5738.8,5731.2,5732.4,5737.2,5739.2,5731.4,5732.7,516,0.5,0.7,0.7,0.5
2025-03-10 01:15:00+00:00,5734.2,5737.2,5733.9,5736.4,5734.4,5737.6,5734.2,5736.6,5734.7,5737.9,5734.4,5736.9,499,0.5,0.5,0.7,0.5
2025-03-10 01:30:00+00:00,5740.2,5743.9,5734.0,5734.0,5740.4,5744.2,5734.4,5734.4,5740.7,5744.4,5734.7,5734.7,411,0.5,0.7,0.5,0.7
2025-03-10 01:45:00+00:00,5745.4,5745.9,5738.7,5740.2,5745.6,5746.2,5739.0,5740.6,5745.9,5746.4,5739.4,5740.9,380,0.5,0.7,0.5,0.7
2025-03-10 02:00:00+00:00,5743.9,5746.2,5741.9,5744.9,5744.2,5746.4,5742.2,5745.2,5744.4,5746.7,5742.4,5745.4,382,0.5,0.5,0.5,0.5
2025-03-10 02:15:00+00:00,5742.9,5745.7,5741.7,5743.7,5743.2,5746.0,5742.0,5744.0,5743.4,5746.2,5742.2,5744.4,302,0.5,0.7,0.5,0.5
2025-03-10 02:30:00+00:00,5746.2,5748.4,5741.7,5742.4,5746.4,5748.6,5742.0,5742.6,5746.7,5748.9,5742.2,5742.9,303,0.5,0.5,0.5,0.5
2025-03-10 02:45:00+00:00,5745.9,5747.7,5744.2,5745.9,5746.2,5748.0,5744.4,5746.2,5746.4,5748.4,5744.7,5746.4,237,0.5,0.5,0.7,0.5
2025-03-10 03:00:00+00:00,5741.7,5747.7,5740.4,5745.4,5742.0,5748.0,5740.6,5745.6,5742.2,5748.2,5740.9,5745.9,403,0.5,0.5,0.5,0.5
2025-03-10 03:15:00+00:00,5738.7,5743.2,5738.2,5741.5,5739.0,5743.4,5738.6,5741.8,5739.2,5743.7,5738.9,5742.2,361,0.5,0.7,0.5,0.7
2025-03-10 03:30:00+00:00,5745.9,5745.9,5738.0,5738.2,5746.2,5746.2,5738.4,5738.4,5746.4,5746.4,5738.7,5738.7,284,0.5,0.5,0.5,0.7
2025-03-10 03:45:00+00:00,5744.2,5748.2,5743.9,5745.7,5744.6,5748.4,5744.2,5746.0,5744.9,5748.7,5744.4,5746.4,251,0.7,0.7,0.5,0.5
2025-03-10 04:00:00+00:00,5747.9,5748.2,5743.2,5744.4,5748.2,5748.4,5743.6,5744.6,5748.4,5748.7,5743.9,5744.9,206,0.5,0.5,0.5,0.7
2025-03-10 04:15:00+00:00,5749.9,5750.7,5747.2,5748.0,5750.2,5751.0,5747.4,5748.4,5750.4,5751.2,5747.7,5748.7,196,0.5,0.7,0.5,0.5
2025-03-10 04:30:00+00:00,5743.9,5749.7,5743.0,5749.4,5744.2,5750.0,5743.4,5749.6,5744.4,5750.2,5743.7,5749.9,287,0.5,0.5,0.5,0.7
